City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,faya-largeau,17.9257,19.1043,32.97,13,1,5.71,TD,1717477645
117,debre werk',10.6667,38.1667,19.73,39,6,1.24,ET,1717477645
118,sittwe,20.15,92.9,29.61,76,49,3.54,MM,1717477468
119,saint-philippe,-21.3585,55.7679,22.77,75,38,3.85,RE,1717477646
120,port hedland,-20.3167,118.5667,25.03,31,0,7.72,AU,1717477355
121,kourou,5.1552,-52.6478,25.03,91,100,2.12,GF,1717477646
122,barcelos,41.5388,-8.6151,19.91,74,0,1.05,PT,1717477646
123,puerto leguizamo,-0.1934,-74.7819,22.35,99,100,0.98,CO,1717477646
124,hawaiian paradise park,19.5933,-154.9731,24.73,87,40,0.0,US,1717477646
125,nar'yan-mar,67.6713,53.087,6.73,95,99,2.68,RU,1717477646
126,bodo,67.28,14.405,10.25,71,75,2.57,NO,1717477646
127,itoman,26.1247,127.6694,28.21,64,20,8.75,JP,1717477646
128,west island,-12.1568,96.8225,29.99,79,75,3.09,CC,1717477646
129,hailar,49.2,119.7,30.4,15,33,5.1,CN,1717477424
130,guerrero negro,27.9769,-114.0611,16.43,85,0,5.48,MX,1717477647
131,hartford,41.7668,-72.7662,18.71,82,0,1.54,US,1717477634
132,hammerfest,70.6634,23.6821,13.25,76,75,6.69,NO,1717477647
133,carnarvon,-24.8667,113.6333,23.2,41,0,3.88,AU,1717477647
134,keflavik,64.0049,-22.5624,4.24,56,0,9.77,IS,1717477647
135,upper dir,35.2058,71.8756,28.29,24,0,3.12,PK,1717477647
136,polewali,-3.4324,119.3435,26.68,83,99,0.59,ID,1717477647
137,regina,50.4501,-104.6178,14.06,95,100,4.63,CA,1717477203
138,sydney mines,46.2367,-60.2177,11.81,98,100,3.6,CA,1717477648
139,haiku-pauwela,20.9219,-156.3051,24.57,81,40,9.77,US,1717477648
140,chonchi,-42.6128,-73.8092,7.56,95,100,3.23,CL,1717477648
141,mohr,54.3528,9.7167,14.42,93,75,1.03,DE,1717477648
142,adrar,20.5022,-10.0711,25.78,21,0,4.77,MR,1717477648
143,lompoc,34.6391,-120.4579,16.12,84,40,10.73,US,1717477648
144,thinadhoo,0.5333,72.9333,28.6,75,6,3.42,MV,1717477648
145,hasaki,35.7333,140.8333,22.94,71,12,10.01,JP,1717477483
146,kolonia,50.9333,6.95,15.53,80,100,1.54,DE,1717477641
147,palangkaraya,-2.2,113.8333,28.79,78,100,0.96,ID,1717477649
148,raytown,39.0086,-94.4636,23.49,81,0,2.57,US,1717477500
149,callao,-12.0667,-77.15,17.46,77,100,4.12,PE,1717477649
150,prado,-17.3411,-39.2208,21.28,95,83,2.23,BR,1717477535
151,chebba,35.2372,11.115,20.42,72,10,7.97,TN,1717477649
152,la passe,45.5549,-0.8967,12.77,82,71,2.35,FR,1717477649
153,porto novo,6.4965,2.6036,25.74,89,85,2.19,BJ,1717477649
154,maragogi,-9.0122,-35.2225,24.59,84,50,1.25,BR,1717477389
155,broome,42.2506,-75.833,18.11,86,53,0.45,US,1717477649
156,librazhd-qender,41.1969,20.3356,19.37,71,1,0.58,AL,1717477649
157,luanda,-8.8368,13.2343,24.0,78,75,2.06,AO,1717477474
158,san juan de uraba,8.7592,-76.5297,25.82,92,98,3.42,CO,1717477650
159,igarka,67.4667,86.5833,0.57,82,100,1.79,RU,1717477650
160,taltal,-25.4,-70.4833,14.99,85,100,0.49,CL,1717477650
161,tiksi,71.6872,128.8694,7.71,65,39,1.28,RU,1717477650
162,afaahiti,-17.75,-149.2833,24.93,76,100,5.93,PF,1717477650
163,shache,38.4167,77.2406,28.28,18,34,1.99,CN,1717477650
164,bontang,0.1333,117.5,28.65,68,100,5.49,ID,1717477443
165,siwa oasis,29.2041,25.5195,28.53,26,0,3.3,EG,1717477650
166,bengkulu,-3.8004,102.2655,30.21,64,98,3.09,ID,1717477650
167,abnub,27.2696,31.1511,28.77,25,0,4.7,EG,1717477651
168,nagqu,31.5,92.0,8.87,20,100,3.81,CN,1717477651
169,san julian,21.0167,-102.1667,23.29,36,72,5.93,MX,1717477651
170,vilyuchinsk,52.9306,158.4028,17.15,71,72,2.75,RU,1717477651
171,ilica,39.9463,41.1091,15.96,55,0,1.03,TR,1717477651
172,qamdo,31.1667,97.2333,12.75,32,99,2.12,CN,1717477651
173,mil'kovo,55.6078,37.7956,18.56,85,26,4.7,RU,1717477651
174,xai-xai,-25.0519,33.6442,19.89,91,18,0.94,MZ,1717477651
175,igbor,7.4527,8.6098,23.39,96,51,2.16,NG,1717477651
176,santa ana de yacuma,-13.75,-65.4333,21.79,64,80,2.8,BO,1717477652
177,belyy yar,53.6039,91.3903,18.94,48,0,5.0,RU,1717477652
178,torghay,49.6339,63.4981,26.9,23,75,4.26,KZ,1717477652
179,yuzhno-kurilsk,44.0306,145.8556,6.88,97,99,4.29,RU,1717477652
180,zakharivka,47.3333,29.75,21.75,77,95,3.82,UA,1717477652
181,ola,59.5833,151.2833,7.3,71,77,5.25,RU,1717477652
182,east ballina,-28.8667,153.5833,20.44,46,88,1.63,AU,1717477652
183,nemuro,43.3236,145.575,8.07,88,85,4.51,JP,1717477652
184,princeville,45.7668,-61.2985,11.97,97,100,2.57,CA,1717477652
185,les cayes,18.2,-73.75,26.37,83,64,2.3,HT,1717477653
186,jamestown,42.097,-79.2353,18.73,92,0,0.45,US,1717477653
187,opuwo,-18.0607,13.84,7.97,26,0,1.29,NA,1717477653
188,mendi,-6.1761,143.6513,14.95,98,100,0.3,PG,1717477653
189,meadow lakes,61.6247,-149.6011,15.86,57,0,0.45,US,1717477653
190,svyetlahorsk,52.6329,29.7389,17.55,86,20,2.49,BY,1717477415
191,mariental,-24.6333,17.9667,4.6,64,13,1.69,NA,1717477653
192,dryden,49.7833,-92.7503,13.16,96,59,1.88,CA,1717477653
193,kodiak,57.79,-152.4072,7.73,76,0,2.57,US,1717477653
194,ridgecrest,35.6225,-117.6709,26.92,36,75,7.6,US,1717477653
195,shimoda,34.6667,138.95,23.2,68,31,4.56,JP,1717477513
196,ta`u,-14.2336,-169.5144,27.68,73,71,7.64,AS,1717477654
197,mahibadhoo,3.7833,72.9667,28.9,76,74,4.07,MV,1717477654
198,sitka,57.0531,-135.33,10.94,76,75,2.57,US,1717477654
199,sayansk,54.1088,102.1648,14.01,71,99,5.69,RU,1717477654
200,hilo,19.7297,-155.09,24.85,90,40,0.89,US,1717477654
201,kikwit,-5.041,18.8162,20.83,95,43,0.36,CD,1717477654
202,nago,26.5881,127.9761,28.24,59,11,5.15,JP,1717477504
203,jinchang,38.4953,102.1739,23.0,21,34,8.5,CN,1717477429
204,marsa alam,25.0757,34.8918,30.06,45,0,5.35,EG,1717477654
205,fauske,67.2588,15.3918,10.25,65,7,1.57,NO,1717477393
206,hakui,36.8833,136.7833,22.92,70,29,4.08,JP,1717477486
207,miro khan,27.7599,68.0921,39.69,29,0,3.02,PK,1717477539
208,sao felix do xingu,-6.6447,-51.995,22.38,83,21,0.76,BR,1717477655
209,natchitoches,31.7668,-93.1335,21.47,100,100,3.6,US,1717477655
210,kharp,66.8014,65.8081,3.17,62,100,0.58,RU,1717477655
211,palembang,-2.9167,104.7458,32.05,66,40,1.03,ID,1717477655
212,waddan,29.1614,16.139,29.55,29,64,3.85,LY,1717477655
213,cedral,23.8,-100.7333,21.69,51,58,5.96,MX,1717477656
214,den burg,53.0542,4.7972,13.99,99,100,3.09,NL,1717477656
215,yazoo city,32.8551,-90.4056,22.12,95,54,4.24,US,1717477656
216,yarmouth,41.7057,-70.2286,15.01,92,20,3.09,US,1717477656
217,collie,-33.3667,116.15,17.39,71,100,1.94,AU,1717477656
218,borzya,50.3833,116.5167,28.97,18,94,5.3,RU,1717477656
